City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Asarganj,IN,2020-08-22 15:53:52,25.15,86.68,82.24,79,41,5.61
154,Daru,PG,2020-08-22 15:53:52,-9.08,143.21,76.01,79,55,10.13
155,Kozhva,RU,2020-08-22 15:53:53,65.11,57.05,55.35,78,5,5.19
156,Ilulissat,GL,2020-08-22 15:53:53,69.22,-51.1,42.8,70,20,3.36
157,Port Hawkesbury,CA,2020-08-22 15:53:53,45.62,-61.35,73.0,64,20,9.17
158,Waipawa,NZ,2020-08-22 15:53:53,-41.41,175.52,50.0,87,52,4.7
159,Vila Franca Do Campo,PT,2020-08-22 15:53:53,37.72,-25.43,77.0,78,20,6.93
160,Dakoro,NE,2020-08-22 15:53:53,14.51,6.76,85.98,51,92,9.26
161,Khuzdar,PK,2020-08-22 15:53:53,27.74,66.64,84.78,47,100,9.42
162,Alyangula,AU,2020-08-22 15:53:53,-13.85,136.42,59.0,93,0,13.4
163,Turukhansk,RU,2020-08-22 15:53:54,65.82,87.98,58.17,76,100,8.55
164,Vardo,NO,2020-08-22 15:53:54,70.37,31.11,60.26,76,85,18.41
165,Ilhabela,BR,2020-08-22 15:53:54,-23.78,-45.36,61.93,78,97,3.91
166,Cidreira,BR,2020-08-22 15:53:54,-30.18,-50.21,57.9,54,0,5.01
167,Ishigaki,JP,2020-08-22 15:53:54,24.34,124.16,83.52,82,100,32.41
168,Mar Del Plata,AR,2020-08-22 15:49:48,-38.0,-57.56,57.2,48,0,13.87
169,Troitsko-Pechorsk,RU,2020-08-22 15:50:11,62.71,56.2,54.48,87,5,3.44
170,Les Cayes,HT,2020-08-22 15:53:54,18.2,-73.75,90.05,58,1,6.38
171,Nyrob,RU,2020-08-22 15:53:54,60.73,56.72,52.7,90,49,3.06
172,Constantine,DZ,2020-08-22 15:53:55,36.37,6.61,97.43,22,0,12.08
173,Keti Bandar,PK,2020-08-22 15:53:55,24.14,67.45,86.09,80,100,1.63
174,Lorengau,PG,2020-08-22 15:53:55,-2.02,147.27,81.54,75,22,3.22
175,Tukrah,LY,2020-08-22 15:53:55,32.53,20.58,82.06,62,0,15.64
176,Hasaki,JP,2020-08-22 15:53:55,35.73,140.83,77.0,94,75,3.36
177,Egvekinot,RU,2020-08-22 15:53:55,66.32,-179.17,46.04,100,100,5.95
178,Alamogordo,US,2020-08-22 15:53:56,32.9,-105.96,88.0,23,1,5.82
179,Huntsville,US,2020-08-22 15:52:51,34.73,-86.59,78.01,73,75,6.93
180,Lebu,CL,2020-08-22 15:53:56,-37.62,-73.65,54.37,70,0,10.13
181,Arraial Do Cabo,BR,2020-08-22 15:53:56,-22.97,-42.03,64.4,82,75,9.17
182,Ribeira Grande,PT,2020-08-22 15:53:56,38.52,-28.7,75.2,73,20,6.93
183,Tura,IN,2020-08-22 15:53:56,25.52,90.22,74.61,96,21,6.93
184,Kamenka,RU,2020-08-22 15:53:56,51.32,42.77,71.01,48,47,1.01
185,Pospelikha,RU,2020-08-22 15:53:56,51.95,81.77,61.9,52,100,4.61
186,Panama City,PA,2020-08-22 15:52:34,8.99,-79.52,82.99,88,40,2.24
187,Ouadda,CF,2020-08-22 15:53:57,8.08,22.4,74.44,92,98,3.71
188,Pili,PH,2020-08-22 15:53:57,13.58,123.3,77.54,91,46,2.42
189,Churapcha,RU,2020-08-22 15:53:57,62.0,132.43,38.89,73,0,3.44
190,Vega De Alatorre,MX,2020-08-22 15:53:57,20.03,-96.63,85.08,66,0,4.9
191,Asaba,NG,2020-08-22 15:53:57,6.2,6.73,80.55,83,91,5.82
192,Kalmunai,LK,2020-08-22 15:53:57,7.42,81.82,82.69,72,75,18.84
193,Bandarbeyla,SO,2020-08-22 15:53:57,9.49,50.81,77.54,75,99,34.11
194,Nairobi,KE,2020-08-22 15:52:21,-1.28,36.82,66.2,72,90,12.75
195,Fairbanks,US,2020-08-22 15:50:03,64.84,-147.72,55.4,81,90,6.93
196,Yuanping,CN,2020-08-22 15:53:58,38.72,112.76,65.16,88,62,1.54
197,Hermanus,ZA,2020-08-22 15:53:58,-34.42,19.23,60.01,82,0,1.99
198,Vao,NC,2020-08-22 15:53:58,-22.67,167.48,72.21,87,2,10.69
199,Midyat,TR,2020-08-22 15:53:58,37.42,41.34,93.2,35,40,14.99
200,Trapani,IT,2020-08-22 15:53:58,37.83,12.67,88.0,84,0,10.29
201,Opuwo,NA,2020-08-22 15:53:58,-18.06,13.84,84.34,12,30,2.44
