City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
134,Sobolevo,RU,54.43,31.9,66.9,83,77,7.87,broken clouds,2020-08-23 16:23:19
135,Kieta,PG,-6.22,155.63,76.57,86,100,2.64,moderate rain,2020-08-23 16:21:37
136,Homer,US,59.64,-151.55,55.99,93,90,5.82,overcast clouds,2020-08-23 16:23:19
137,Hobart,AU,-42.88,147.33,44.6,70,40,12.75,light rain,2020-08-23 16:20:11
138,New Norfolk,AU,-42.78,147.06,39.99,85,8,1.01,clear sky,2020-08-23 16:20:44
139,Konstantinovka,RU,49.62,127.98,63.1,80,100,3.47,overcast clouds,2020-08-23 16:23:19
140,Barrow,US,71.29,-156.79,37.4,93,90,11.41,fog,2020-08-23 16:16:23
141,Half Moon Bay,US,37.46,-122.43,69.01,100,40,5.82,scattered clouds,2020-08-23 16:18:35
142,La Ronge,CA,55.1,-105.28,62.6,63,75,17.22,broken clouds,2020-08-23 16:20:41
143,Ngama,TD,11.78,17.17,83.73,69,77,6.24,broken clouds,2020-08-23 16:23:20
144,Port Alfred,ZA,-33.59,26.89,60.46,79,1,10.6,clear sky,2020-08-23 16:20:36
145,Kamenka,RU,51.32,42.77,71.01,51,5,7.02,clear sky,2020-08-23 16:21:58
146,Santa Helena De Goias,BR,-17.81,-50.6,80.15,42,34,5.95,scattered clouds,2020-08-23 16:23:20
147,Korla,CN,41.76,86.15,82.0,63,26,3.0,scattered clouds,2020-08-23 16:20:35
148,Evans,US,33.53,-82.13,84.99,70,20,5.91,few clouds,2020-08-23 16:23:20
149,Qaanaaq,GL,77.48,-69.36,37.13,87,100,1.45,overcast clouds,2020-08-23 16:20:39
150,Blagoyevo,RU,63.37,47.92,64.35,77,68,5.57,broken clouds,2020-08-23 16:21:04
151,Lompoc,US,34.64,-120.46,75.2,73,1,2.75,clear sky,2020-08-23 16:22:11
152,Lata,PT,40.16,-8.33,82.99,49,28,9.62,scattered clouds,2020-08-23 16:21:04
153,San Lorenzo,PY,-25.33,-57.53,71.6,43,0,12.75,clear sky,2020-08-23 16:18:24
154,Jiayuguan,CN,39.82,98.3,71.6,22,16,6.2,few clouds,2020-08-23 16:23:21
